seed,m,tau0,rho,lambda_shrink,tauk_mean,tauk_min,tauk_max,etaR_mean,etaP_mean,meta_nll_after,cal_nll,cal_brier,cal_ece,cal_accuracy,cal_macro_f1,cal_balanced_accuracy,cal_weighted_f1,cal_macro_precision,cal_macro_recall,cal_tail20_f1,delta_cal_accuracy,delta_cal_macro_f1,delta_cal_balanced_accuracy,delta_cal_tail20_f1,delta_cal_nll,delta_cal_brier,delta_cal_ece,pareto_gain_cal
42,16384,0.694,0.0,20.0,0.6940000000000001,0.694,0.694,0.15409999999999996,0.09590000000000004,2.8190252780914307,2.8194940090179443,0.7921381337691885,0.06042582646073251,0.35460122699386504,0.197362428224674,0.19652098161091922,0.32913394140277513,0.22410573073026985,0.19652098161091922,0.11244877783924437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
42,16384,0.694,0.0,50.0,0.6940000000000001,0.694,0.694,0.15409999999999996,0.09590000000000004,2.8190252780914307,2.8194940090179443,0.7921381337691885,0.06042582646073251,0.35460122699386504,0.197362428224674,0.19652098161091922,0.32913394140277513,0.22410573073026985,0.19652098161091922,0.11244877783924437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
42,16384,0.694,0.15,20.0,0.7500612393916319,0.5795406572159946,0.8618097130383797,0.16250918590874477,0.08749081409125523,2.8214926719665527,2.8220136165618896,0.7926332055075735,0.06072194245862936,0.35419222903885483,0.19827003126193687,0.19673674184809894,0.3293899410902154,0.2227740743733216,0.19673674184809894,0.10997492163009406,-0.0004089979550102041,0.0009076030372628663,0.00021576023717972959,-0.0024738562091503047,0.0025196075439453125,0.0004950717383850334,0.00029611599789684806,False
42,16384,0.694,0.15,50.0,0.7345723651363454,0.5898292498969331,0.8153321804629148,0.16018585477045177,0.08981414522954824,2.820317029953003,2.820905923843384,0.7924381916451927,0.06017540745619983,0.35501022494887524,0.1987252368423405,0.19700677391444163,0.3299547290180433,0.22413581977258581,0.19700677391444163,0.11244877783924437,0.0004089979550102041,0.0013628086176664944,0.0004857923035224143,0.0,0.0014119148254394531,0.0003000578760041783,-0.0002504190045326815,True
42,16384,0.694,0.3,20.0,0.8058262845224963,0.46508131443198913,1.0,0.1708739426783744,0.0791260573216256,2.824458122253418,2.8247599601745605,0.7930777006804637,0.05986097639537052,0.35337423312883437,0.19795574806061564,0.19606841115240478,0.32901962127709133,0.22197546917949168,0.19606841115240478,0.10880533098681919,-0.0012269938650306678,0.0005933198359416303,-0.0004525704585144341,-0.0036434468524251806,0.005265951156616211,0.0009395669112751692,-0.0005648500653619923,False
42,16384,0.694,0.3,50.0,0.7751447302726906,0.48565849979386616,0.9366643609258296,0.16627170954090353,0.08372829045909645,2.8219125270843506,2.8223769664764404,0.7927249033248162,0.05954799257630221,0.35419222903885483,0.19772351475287364,0.19623132422782294,0.3291406517790299,0.22162316188338158,0.19623132422782294,0.10880533098681919,-0.0004089979550102041,0.0003610865281996334,-0.00028965738309627564,-0.0036434468524251806,0.0028829574584960938,0.000586769555627642,-0.0008778338844303013,False
42,16384,0.815,0.0,20.0,0.8149999999999996,0.815,0.815,0.1722499999999999,0.07775000000000001,2.825983762741089,2.826009750366211,0.7932751162902608,0.060722600383748784,0.35194274028629857,0.19619370441217626,0.1959160099411573,0.3285021810223911,0.2164345349161126,0.1959160099411573,0.10792813800436304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
42,16384,0.815,0.0,50.0,0.8149999999999996,0.815,0.815,0.1722499999999999,0.07775000000000001,2.825983762741089,2.826009750366211,0.7932751162902608,0.060722600383748784,0.35194274028629857,0.19619370441217626,0.1959160099411573,0.3285021810223911,0.2164345349161126,0.1959160099411573,0.10792813800436304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
42,16384,0.815,0.15,20.0,0.8710612393916318,0.7005406572159946,0.9828097130383797,0.18065918590874475,0.06934081409125525,2.8301525115966797,2.830749034881592,0.7939586300356039,0.06276796167156448,0.3521472392638037,0.19835933734947844,0.19704501948967487,0.32979877879218744,0.21901637647981548,0.19704501948967487,0.10792813800436304,0.0002044989775051298,0.002165632937302181,0.0011290095485175788,0.0,0.004739284515380859,0.000683513745343034,0.0020453612878156974,True
42,16384,0.815,0.15,50.0,0.8555723651363452,0.7108292498969331,0.9363321804629148,0.17833585477045177,0.07166414522954823,2.8281404972076416,2.8287553787231445,0.7936665506733155,0.061243286728858946,0.3521472392638037,0.19798777293630299,0.19667279726745263,0.3296115000773895,0.22173065179171758,0.19667279726745263,0.10792813800436304,0.0002044989775051298,0.001794068524126724,0.0007567873262953329,0.0,0.0027456283569335938,0.0003914343830546674,0.000520686345110162,True
