feature,auc_raw,auc_oriented,spearman,mean_pos,mean_neg
p2,0.6933842317766001,0.6933842317766001,0.22727900381391383,0.1696754288967872,0.11357475279288644
gap23,0.6697322236629804,0.6697322236629804,0.19948146937753813,0.09687427735108652,0.048293432120675765
runner_residual_share,0.6483571300631555,0.6483571300631555,0.17435992800280245,0.3052087927940633,0.208609811209723
residual_hhi,0.6453808282126675,0.6453808282126675,0.17086196483686097,0.1746984234760494,0.10277417011013068
residual_entropy,0.35958609349119264,0.6404139065088074,-0.16502448260522207,3.0163251438114,3.401993323130891
runner_rank_mean,0.3876602278222459,0.6123397721777541,-0.13502222833774583,2.1553158705701074,2.4539495402027827
logratio23,0.6100390603286067,0.6100390603286067,0.12932578726177016,0.9062120686961764,0.6012571191386055
dose,0.5905862827799212,0.5905862827799212,0.10646348939767702,0.47946126239301684,0.39172488793143956
q_state,0.5903341400206147,0.5903341400206147,0.10616715317629101,0.2485051778194683,-0.037950714188288756
logratio12,0.4121876508905472,0.5878123491094528,-0.1032033638416402,0.6982959912891252,1.3027833231827166
runner_rank_sd,0.42587348028581506,0.5741265197141849,-0.08851171377767979,0.4896761130832059,0.8137914528991522
runner_top3_frac,0.5727531773075877,0.5727531773075877,0.10499503167484266,0.9460708782742681,0.8997406272105636
top1_class_prior,0.5724103866830839,0.5724103866830839,0.0851050286810038,0.14488392435947198,0.13281046327203266
pair_reliability_prior,0.5673451874339897,0.5673451874339897,0.07915326692855305,0.15286950434413654,0.13954030869657114
p3,0.560112250759244,0.560112250759244,0.0706482237153439,0.07280115154570062,0.06528132067221061
runner_rank2_frac,0.5589470896222182,0.5589470896222182,0.07107732939504899,0.72326656394453,0.6625324215986796
log_pair_count,0.5573323223401755,0.5573323223401755,0.06747998221770457,2.752575652038539,2.439568648571546
prototype_cosine,0.5530328159804738,0.5530328159804738,0.06234648312928282,0.6693553364371657,0.6088369620545768
prototype_distance,0.451262330562064,0.548737669437936,-0.05729701938685722,1.7504731043930484,1.8690127218039092
runner_class_prior,0.5465988158009947,0.5465988158009947,0.05476790391623124,0.14036234840742737,0.13377131417462687
runner_top5_frac,0.5386970105097025,0.5386970105097025,0.08342031570825062,0.9904468412942988,0.970714454138175
gap12,0.46627953912372755,0.5337204608762725,-0.0396307014614576,0.1729777859522147,0.24336189227121002
p1,0.5321778122364809,0.5321778122364809,0.03781767025978381,0.3426532148490019,0.3569366450640965
top1_above_runner_frac,0.4702814879619998,0.5297185120380001,-0.04203505004114583,0.8764252696456087,0.8943645366658807
log_support_ratio,0.5216030757056819,0.5216030757056819,0.025392274541959848,-0.1379331001752263,-0.19521631436199552
ensemble_top1_vote_frac,0.483096625537847,0.516903374462153,-0.023364536778531435,0.8600924499229584,0.8677198773874086
runner_logit_sd,0.511264859256019,0.511264859256019,0.013239269646191197,0.44996279001302086,0.48933946298830205
